"","verslagjaar","okvk","organisatie","wnMedew","wnFTE","wTijd","wPnil","wPnilKosten","wGemContr","wInstroom","wUitstroom","wDoorstroom","wnStag","wnVrijw","wNiv1","wNiv2","wNiv3","wNiv4","wNiv5","wNiv6","wBdnst","wOvPers","wLling","wFTEperCt","wVerzuimPerc","wVerzuimFreq","tTijd","tPnil","tPnilKosten","tGemContr","tInstroom","tUitstroom","tDoorstroom","tNiv1","tNiv2","tNiv3","tNiv4","tNiv5","tNiv6","tBdnst","tOvPers","tLling","tFTEperCt","tVerzuimPerc","tVerzuimFreq","nTijd","nPnil","nPnilKosten","nGemContr","nInstroom","nUitstroom","nDoorstroom","nNiv1","nNiv2","nNiv3","nNiv4","nNiv5","nNiv6","nBdnst","nOvPers","nLling","nFTEperCt","nVerzuimPerc","nVerzuimFreq"
"184",2019,"41199892","Stichting Brentano Amstelveen",315,205.89,12.7,10.93,14.74,0.65,24.67,25.66,15.46,92,276,6.15,23.5,37.1,12.49,2.04,0.59,2.35,0,15.75,0.75,7.02,1.4,40,23,1412657,206,75,78,47,13,48,76,26,4,1,5,0,32,206,7880,441,315,206,9582954,315,304,304,304,206,206,206,206,206,206,206,206,206,276,112221,315
"185",2019,"27283988","Stichting Cardia-Duinrust",447,310.96,38.98,6.28,13.22,0.7,28.03,20.58,9.21,25,376,4.47,23.12,21.98,4.51,1.14,0,0,6.88,9.6,0.97,NA,0,184,20,1881457,311,207,152,68,14,72,68,14,4,0,0,21,30,311,NA,0,472,311,14231444,447,739,739,739,311,311,311,311,311,311,311,311,311,320,NA,447
"186",2019,"9169814","Stichting Careaz",669,359.9,18.14,2.81,5.62,0.54,23.2,22.89,6.79,76,821,7,11.5,42.87,7.45,1.75,0.72,0.69,2.64,5.33,1.18,4.69,1,117,10,1016883,360,147,145,43,25,41,154,27,6,3,3,10,19,360,7327,666,645,360,18102515,669,634,634,634,360,360,360,360,360,360,360,360,360,305,156258,669
"187",2019,"8089405","Stichting Carinova Woonzorg",755,481,14.21,4.16,4.27,0.64,24.77,22.45,2.97,85,857,0.42,0,60.29,8.52,2.08,0.83,8.52,7.9,11.43,0.86,7.91,0.74,105,20,1000843,481,192,174,23,2,0,290,41,10,4,41,38,55,481,8643,555,739,481,23449521,755,775,775,775,481,481,481,481,481,481,481,481,481,562,109267,755
"188",2019,"41027001","Stichting Carint-Reggeland Groep",2296,1198,25.98,3.51,3.9,0.52,20.54,12.91,3.36,493,3067,7.68,15.61,49.33,13.02,0.75,0,3.26,0,10.35,0.96,7.81,1.34,627,42,2146925,1198,471,296,77,92,187,591,156,9,0,39,0,124,1198,35635,3076,2413,1198,55096300,2296,2293,2293,2293,1198,1198,1198,1198,1198,1198,1198,1198,1198,1249,456318,2296
"189",2019,"41051592","Stichting Catharina",451,300.41,19.07,9.08,13.84,0.67,39.05,24.29,2.14,27,319,4.25,7.36,47.2,7.57,0.65,1.04,4.69,0,8.85,0.97,7.05,0.95,86,27,2383082,300,164,102,9,13,22,142,23,2,3,14,0,27,300,7123,430,451,300,17224963,451,420,420,420,300,300,300,300,300,300,300,300,300,311,101030,451
"190",2019,"41126848","Stichting Centrum Voor Vrijwillige En Professionele Maatschappelijke Dienstverlening",21,17,25,11.18,17.62,0.81,19.05,28.57,0,1,4,0,11.76,11.76,47.06,17.65,0,0,0,0,5.97,13.51,1.81,5,2,178000,17,4,6,0,0,2,2,8,3,0,0,0,0,17,838,38,20,17,1010000,21,21,21,21,17,17,17,17,17,17,17,17,17,3,6205,21
"191",2019,"5083801","Stichting Christelijke Zonnehuisgroep Ijssel-Vecht",748,370.71,30.75,1.56,2.43,0.5,35.15,33.91,7.05,167,471,18.13,5.98,43.29,14.77,3.34,0.21,6.89,3.91,3.47,1.03,6.67,1.01,230,6,675075,371,284,274,57,67,22,160,55,12,1,26,15,13,371,7888,753,748,371,27816608,748,808,808,808,371,371,371,371,371,371,371,371,371,359,118306,748
"192",2019,"41050547","Stichting Christelijke Zorgorganisatie Norschoten",777,376.11,40.8,2.01,5.13,0.48,27.36,18.43,34.09,97,640,14.24,6.3,34.62,6.05,0.97,1.62,5.74,6.82,0,1.56,5.83,0.92,317,8,1151902,376,187,126,233,54,24,130,23,4,6,22,26,0,376,8000,711,777,376,22465057,777,684,684,684,376,376,376,376,376,376,376,376,376,241,137279,777
"193",2019,"14089898","Stichting Cicero Zorggroep",1425,890,35.54,3.18,3.32,0.62,28.09,20.44,3.98,222,736,5.44,19.04,41.17,9.54,0,0.65,8,8.15,8.01,0.91,6.85,1.18,499,28,1337754,890,430,313,61,48,170,366,85,0,6,71,73,71,890,29378,1677,1404,890,40310696,1425,1531,1531,1531,890,890,890,890,890,890,890,890,890,975,429123,1425
"194",2019,"39075012","Stichting Coloriet",632,383.75,13.74,1.86,6.83,0.61,31.57,20.63,5.02,226,441,5.27,11.75,47.51,13.67,0,0.88,6.1,2.05,12.77,1.07,6.33,0.91,79,7,1255950,384,176,115,28,20,45,182,52,0,3,23,8,49,384,5061,575,575,384,18390613,632,558,558,558,384,384,384,384,384,384,384,384,384,359,79953,632
"195",2019,"34229005","Stichting Cordaan",1660,1281,27.83,5.66,5.93,0.77,19.42,18.04,NA,283,1105,12.49,26.39,31.15,9.68,6.32,0.23,5.78,0,7.96,0.91,8.03,1.24,462,72,3805352,1281,324,301,NA,160,338,399,124,81,3,74,0,102,1281,32539,2051,1660,1281,64134897,1660,1669,1669,NA,1281,1281,1281,1281,1281,1281,1281,1281,1281,1407,405284,1660
"196",2019,"1158834","Stichting De Bijzondere Onderneming",6,4.8,NA,NA,NA,0.8,33.33,33.33,0,1,0,0,0,0,62.5,20.83,16.67,0,0,0,0.96,4.46,0.67,NA,NA,NA,5,2,2,0,0,0,0,3,1,1,0,0,0,5,240,4,NA,NA,NA,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5378,6
"197",2019,"41265263","Stichting De Bilthuysen",548,274,43.98,8.8,13.73,0.5,22.26,41.97,3.65,13,302,28.36,20.91,27.63,2.26,2.08,0,3.98,0.88,13.91,0.91,7.44,1.35,241,24,2128030,274,122,230,20,78,57,76,6,6,0,11,2,38,274,7441,740,548,274,15499899,548,548,548,548,274,274,274,274,274,274,274,274,274,301,100010,548
"198",2019,"2068255","Stichting De Hoven",867,494.82,23.06,0.73,0.97,0.57,18.73,12.08,4.31,211,674,2.48,15.55,54.95,6.65,0.78,2.88,6.84,0,9.87,1.01,6.64,1.24,196,4,232600,495,152,98,35,12,77,272,33,4,14,34,0,49,495,11963,1079,850,495,23994975,867,812,812,812,495,495,495,495,495,495,495,495,495,488,180092,867
"199",2019,"41047505","Stichting De Keerderberg",60,28.27,30,2.41,3.25,0.47,25.49,35.29,3.92,12,39,0,25.43,20.98,9.83,0,0,0,0,14.15,0.94,3.4,0.53,18,1,43824,28,13,18,2,0,7,6,3,0,0,0,0,4,28,271,32,60,28,1349940,60,51,51,51,28,28,28,28,28,28,28,28,28,30,7973,60
"200",2019,"62081667","Stichting De Kombij",8,1.83,37.5,0,NA,0.23,NA,NA,NA,2,4,0,5.46,39.34,25.68,24.04,0,0,5.46,0,0.6,6.92,0.13,3,0,NA,2,NA,NA,NA,0,0,1,0,0,0,0,0,0,2,18,1,8,2,NA,8,NA,NA,NA,2,2,2,2,2,2,2,2,2,3,260,8
"201",2019,"41122080","Stichting De Merwelanden",88,57.81,22.73,13.25,23.96,0.66,33.72,16.28,22.09,16,115,24.65,22.16,32.24,5.57,0,0,0,0,15.38,0.55,9.3,1.28,20,8,702760,58,29,14,19,14,13,19,3,0,0,0,0,9,58,2933,113,88,58,2932825,88,86,86,86,58,58,58,58,58,58,58,58,58,104,31538,88
"202",2019,"41028000","Stichting De Posten",401,251,37.08,3.12,5.81,0.63,38.54,21.46,1.71,13,246,16.29,16.73,39,13.03,0,0,8.49,0.68,5.78,1.02,6.12,1.49,165,8,719609,251,158,88,7,41,42,98,33,0,0,21,2,15,251,4893,597,445,251,12389428,401,410,410,410,251,251,251,251,251,251,251,251,251,247,79959,401
"203",2019,"18081254","Stichting Mijzo",781,494.86,14.49,1.28,2.11,0.63,20.19,9.68,5.14,203,754,0.47,17.86,53.5,12.83,1.31,0.53,5.56,6.64,1.31,0.9,5.53,1.17,121,6,544540,495,169,81,43,2,88,265,63,7,3,28,33,6,495,13257,917,835,495,25762713,781,837,837,837,495,495,495,495,495,495,495,495,495,552,239827,781
"204",2019,"9103258","Stichting De Waalboog- Zorg- Welzijn En Wonen",941,632.86,7.54,5.61,10.42,0.67,22.97,25.62,1.38,42,541,0,9,32.82,6.2,0.86,0,5.93,16.88,7.67,1.28,6.25,1.14,70,36,3504670,633,216,241,13,0,57,208,39,5,0,38,107,49,633,9260,1076,928,633,33649083,941,941,941,941,633,633,633,633,633,633,633,633,633,494,148089,941
"205",2019,"41095513","Stichting De Wever",1925,1136,26.47,NA,3.85,0.59,27.86,18.06,16.63,365,1092,19.85,9.6,38.95,10.04,3.87,0,7.22,0,10.48,0.92,7.51,1.44,504,NA,2067625,1136,526,341,314,226,109,443,114,44,0,82,0,119,1136,72421,2774,1904,NA,53722375,1925,1888,1888,1888,1136,1136,1136,1136,1136,1136,1136,1136,1136,1236,964330,1925
"206",2019,"41172092","Stichting De Zevenster",146,93.86,34.87,5.22,17.48,0.64,24.66,30.14,7.53,10,135,20.12,11.41,23.68,4.41,0,0,0,0,14.43,1.15,6.58,0.45,53,5,821261,94,36,44,11,19,11,22,4,0,0,0,0,14,94,24,66,152,94,4698076,146,146,146,146,94,94,94,94,94,94,94,94,94,81,365,146
"207",2019,"41236520","Stichting De Zorgcirkel",2623,1131,37.36,2.39,7.57,0.43,30.84,21.77,2.59,350,1567,12.72,14.16,36.64,15.44,0.12,0.11,6.37,2.33,12.11,0.8,7.71,1.07,980,27,3804694,1131,809,571,68,144,160,414,175,1,1,72,26,137,1131,54198,2807,2623,1131,50231872,2623,2623,2623,2623,1131,1131,1131,1131,1131,1131,1131,1131,1131,1409,702904,2623
"208",2019,"41018149","Stichting Derkshoes Zorg En Dienstverlening",53,36.4,24.53,3.3,4.9,0.69,35.85,37.74,7.55,20,136,1.21,17.8,58.49,17.2,0,5.3,0,0,0,0.83,7.9,1.26,13,1,150000,36,19,20,4,0,6,21,6,0,2,0,0,0,36,748,67,53,36,3061224,53,53,53,53,36,36,36,36,36,36,36,36,36,44,9464,53
"209",2019,"51662264","Stichting Dienstencentrum Oud Burgeren Gasthuis (Obg)",25,14.5,32.14,0,NA,0.58,40,16,0,8,0,42.07,7.59,43.45,4.83,0,0,0,0,2.07,0.92,5.62,0.48,9,0,NA,15,10,4,0,6,1,6,1,0,0,0,0,0,15,376,12,28,15,NA,25,25,25,25,15,15,15,15,15,15,15,15,15,16,6690,25
"210",2019,"41009641","Stichting Dignis",1439,736,22.79,2.57,5.04,0.51,24.85,22.9,7.4,256,169,5.98,8.42,53.8,7.61,3.78,0.67,5.19,5.27,2.51,1.34,9.73,0.81,328,19,2044893,736,356,328,106,44,62,396,56,28,5,38,39,19,736,43951,1171,1439,736,40603439,1439,1433,1433,1433,736,736,736,736,736,736,736,736,736,551,451897,1439
"211",2019,"41231279","Stichting Doopsgezind Zorgcentrum Het Mennistenerf",150,79.59,11.97,2.59,4.43,0.53,24.8,16,12,10,162,7.12,33.48,47.41,11.99,0,0,0,0,0,0.78,6.93,1.34,14,2,165516,80,31,20,15,6,27,38,10,0,0,0,0,0,80,1440,201,117,80,3737418,150,125,125,125,80,80,80,80,80,80,80,80,80,102,20773,150
"212",2019,"5081871","Stichting Driezorg- Wonen Welzijn & Zorg",447,258.6,19.78,5.65,10.5,0.58,37.53,24.71,3.43,18,670,12.57,4.83,59.28,10.83,0.97,0,0,4.29,7.23,0.82,7.7,1.11,92,15,1462161,259,164,108,15,33,13,153,28,3,0,0,11,19,259,5178,498,465,259,13928120,447,437,437,437,259,259,259,259,259,259,259,259,259,316,67247,447
"213",2019,"28081074","Stichting Dsv",359,196.2,22.06,9.31,7.82,0.55,14.21,19.78,8.64,52,532,6.65,12.25,47.25,6.92,2.75,0,0,7.68,16.51,0.79,5.81,0.82,77,18,1019162,196,51,71,31,13,24,93,14,5,0,0,15,32,196,4234,295,349,196,13032618,359,359,359,359,196,196,196,196,196,196,196,196,196,247,72860,359
"214",2019,"22041726","Stichting Eilandzorg Schouwen-Duiveland",104,39.34,8.82,1.78,2.31,0.38,41.22,32.06,4.58,23,100,7.04,17.44,51.25,13.68,4.04,0,0,0,6.56,0.84,7.22,1.46,6,1,42632,39,27,21,3,3,7,20,5,2,0,0,0,3,39,3264,152,68,39,1844000,104,66,66,66,39,39,39,39,39,39,39,39,39,47,45206,104
"215",2019,"41076416","Stichting Envida",1539,1016.42,11.11,8.9,8.38,0.66,26.96,12.7,8.47,117,876,7.77,17.9,48.75,5.42,0.15,0.62,9.02,3.34,7,0.87,6.82,1.27,171,90,4524625,1016,414,195,130,79,182,496,55,2,6,92,34,71,1016,26845,1958,1539,1016,53996406,1539,1536,1536,1536,1016,1016,1016,1016,1016,1016,1016,1016,1016,1171,393867,1539
"216",2019,"41232302","Stichting Evean Zorg",1974,1093,25.28,6.95,12.3,0.55,29.26,23.07,1.16,142,1283,1.57,27.39,27.48,18.3,2.69,0,9.09,8.49,4.99,0.79,8.6,0.88,499,76,7471628,1093,553,436,22,17,299,300,200,29,0,99,93,55,1093,21253,1737,1974,1093,60744919,1974,1890,1890,1890,1093,1093,1093,1093,1093,1093,1093,1093,1093,1375,247124,1974
"217",2019,"41102418","Stichting Groenhuysen",2190,1294.38,13.97,2.57,5.61,0.59,19.56,12.38,35.86,156,1406,7.76,13.4,36.15,16.68,5.89,0.52,3.18,8.79,7.63,1.02,7.82,1.14,306,33,3680361,1294,414,262,759,100,173,468,216,76,7,41,114,99,1294,66087,2497,2190,1294,65574000,2190,2117,2117,2117,1294,1294,1294,1294,1294,1294,1294,1294,1294,1272,845241,2190
"218",2019,"41232103","Stichting Hervormd Centrum Pennemes",125,55.35,31.18,1.88,3.87,0.44,65.45,40,2.42,9,137,8.83,23.52,48.76,6.38,1.95,0,0,0.6,9.95,0.78,4.77,1.27,29,1,108144,55,54,33,2,5,13,27,4,1,0,0,0,6,55,689,159,93,55,2794362,125,83,83,83,55,55,55,55,55,55,55,55,55,71,14446,125
"219",2019,"41095453","Stichting Het Laar",231,149.56,28.35,12.3,24.9,0.65,28.14,14.72,10.82,44,170,12.44,17.65,40.72,11.31,1.56,0,0.49,1.36,14.47,0.76,6.3,1.19,72,18,1603730,150,65,34,25,19,26,61,17,2,0,1,2,22,150,5242,276,254,150,6440523,231,231,231,231,150,150,150,150,150,150,150,150,150,196,83254,231
"220",2019,"41047349","Stichting Het Maanderzand",91,52.47,18.68,17.27,5.15,0.58,25.27,23.08,0,19,120,6.78,11.28,58.78,15.28,0,0,0,0,7.87,0.75,7.73,1.47,17,9,310769,52,23,21,0,4,6,31,8,0,0,0,0,4,52,2094,134,91,52,6039858,91,91,91,91,52,52,52,52,52,52,52,52,52,70,27093,91
"221",2019,"41047384","Stichting Het Schild- Centrum Voor Visueel Gehandicapte Ouderen",17,8.19,35.29,14.65,45.72,0.48,22.86,28.57,NA,1,7,24.42,4.88,52.5,8.55,4.88,0,0,0,3.66,0.85,10.6,1.53,6,1,182529,8,4,5,NA,2,0,4,1,0,0,0,0,0,8,284,26,17,8,399219,17,18,18,NA,8,8,8,8,8,8,8,8,8,10,2678,17
"222",2019,"24299892","Stichting Het Spectrum",458,255,20.56,5.16,5.3,0.56,20.8,18.81,6.86,95,307,7.06,21.18,41.57,7.84,0.39,0.39,8.24,4.31,9.02,0.99,8.71,1.09,95,13,1657917,255,94,85,31,18,54,106,20,1,1,21,11,23,255,17629,497,462,255,31283844,458,452,452,452,255,255,255,255,255,255,255,255,255,257,202436,458
"223",2019,"41195096","Stichting Hilverzorg",548,432,17.52,18.52,35.3,0.79,16.62,16.62,NA,59,325,2.84,14.11,42.75,19.16,1.77,0,7.63,11.74,0,0.87,9.89,1.2,96,80,8382,432,126,126,NA,12,61,185,83,8,0,33,51,0,432,15801,658,548,432,23743,548,758,758,NA,432,432,432,432,432,432,432,432,432,498,159826,548
"224",2019,"36053708","Stichting Hospice Dignitas",15,10.18,12.5,1.96,2.03,0.68,6.67,13.33,0,2,105,0,0,13.95,66.4,19.65,0,0,0,0,38.71,9.8,0.8,2,0,14644,10,1,2,0,0,0,1,7,2,0,0,0,0,10,1867,12,16,10,720000,15,15,15,15,10,10,10,10,10,10,10,10,10,0,19056,15
"225",2019,"60887214","Stichting Huize Ds. W.h. Blaak",15,8.8,31.25,3.41,3.73,0.59,34.48,27.59,0,0,1,0,0,97.73,2.27,0,0,0,0,0,1.1,3.09,0.07,5,0,13374,9,5,4,0,0,0,9,0,0,0,0,0,0,9,71,1,16,9,358698,15,15,15,15,9,9,9,9,9,9,9,9,9,8,2300,15
"226",2019,"30236066","Stichting Huize Het Oosten",195,115.25,14.17,9.46,14.72,0.59,9.3,40.53,4.65,12,70,12.23,12.56,22.67,5.32,3.04,0,0,6.8,11.25,1.24,9.84,1.05,18,11,817147,115,14,61,7,14,14,26,6,4,0,0,8,13,115,4988,205,127,115,5552784,195,151,151,151,115,115,115,115,115,115,115,115,115,93,50700,195
"227",2019,"63547899","Stichting Huize P.r. Derks",16,8.3,37.5,NA,NA,0.52,28.57,17.14,0,3,NA,0,0,15.66,79.52,4.82,0,0,0,0,0.83,NA,NA,6,NA,NA,8,5,3,0,0,0,1,7,0,0,0,0,0,8,NA,NA,16,NA,NA,16,18,18,18,8,8,8,8,8,8,8,8,8,10,NA,NA
"228",2019,"50672703","Stichting Huize Ten Berghe",38,20.2,18.42,0,NA,0.53,14.08,14.08,0,4,3,0,27.72,46.53,0,4.95,0,0,20.79,0,1.26,7.99,1.16,7,0,NA,20,5,5,0,0,6,9,0,1,0,0,4,0,20,390,44,38,20,NA,38,36,36,36,20,20,20,20,20,20,20,20,20,16,4881,38
"229",2019,"41172086","Stichting Huize Winterdijk",40,18.33,39.13,1.64,3.25,0.46,37.04,37.04,14.81,6,29,3.6,35.57,38.57,9.11,0,0,0.6,0,12.55,0.63,3.55,1.3,18,0,27578,18,15,15,6,1,7,7,2,0,0,0,0,2,18,4713,52,46,18,849550,40,41,41,41,18,18,18,18,18,18,18,18,18,29,132600,40
"230",2019,"41125061","Stichting Humanitas",993,695.45,14.11,19.46,23.98,0.7,7.65,25.98,10.27,325,557,15.74,19.59,38.1,9.19,0.2,0,6.65,5.32,5.21,0.86,13.12,1.44,128,135,7735958,695,76,258,102,109,136,265,64,1,0,46,37,36,695,23593,1430,907,695,32261043,993,993,993,993,695,695,695,695,695,695,695,695,695,813,179827,993
"231",2019,"41020244","Stichting Icare",751,409,27.7,1.42,3.47,0.54,18.6,26.37,2.5,163,398,5.72,20.28,43.83,9.74,3.37,0.3,6.78,2.78,7.19,1.01,5.3,0.56,200,6,720619,409,134,190,18,23,83,179,40,14,1,28,11,29,409,7912,421,722,409,20774792,751,721,721,721,409,409,409,409,409,409,409,409,409,403,149285,751
"232",2019,"41025569","Stichting Ijsselheem Verpleging- Verzorging En Thuiszorg",1829,816.77,23.4,0,1,0.45,21.46,13.4,6.62,298,1670,9.98,11.61,47.58,6.73,0,0,4.72,1.12,5.84,17.64,6.05,0.99,428,0,418358,817,386,241,119,82,95,389,55,0,0,39,9,48,817,14508,1811,1829,817,41776170,1829,1799,1799,1799,817,817,817,817,817,817,817,817,817,46,239814,1829
"233",2019,"9141342","Stichting Innoforte",465,271.55,38.92,3.41,10.01,0.58,30.55,15.6,6.5,46,220,8.37,12.98,46.74,3.28,0.24,0.36,1.05,16.38,10.6,0.99,9,1.29,130,9,1716474,272,141,72,30,23,35,127,9,1,1,3,44,29,272,6403,599,334,272,17145102,465,462,462,462,272,272,272,272,272,272,272,272,272,273,71146,465
"234",2019,"41047201","Stichting Innoforte, Locatie Vreedenhoff",259,140.2,44.79,3.85,8.36,0.54,91.5,82.59,NA,10,103,4.99,31.53,37.59,3.07,0.43,0,0.57,1.64,8.42,0.95,10.1,1.29,116,5,437109,140,113,102,NA,7,44,53,4,1,0,1,2,12,140,16877,334,259,140,5231000,259,124,124,NA,140,140,140,140,140,140,140,140,140,148,167130,259
"235",2019,"41149733","Stichting Inovum",362,231.16,34.25,14.22,19.2,0.64,9.41,9.68,3.87,68,225,10.89,15.53,28.87,10.94,0.39,0,9.21,13.97,10.21,0.97,7.43,0.98,125,33,2137177,231,34,35,14,25,36,67,25,1,0,21,32,24,231,5271,356,365,231,11133914,362,362,362,362,231,231,231,231,231,231,231,231,231,238,70939,362
"236",2019,"9181367","Stichting Insula Dei Huize Kohlmann",280,145.9,19.92,18.51,33.62,0.52,24.12,12.62,5.57,17,130,5.89,18.37,58.05,7.61,2.95,0.48,0,0,6.65,0.65,10.2,1.12,47,27,3560000,146,65,34,15,9,27,85,11,4,1,0,0,10,146,6545,314,236,146,10588000,280,270,270,270,146,146,146,146,146,146,146,146,146,224,64161,280
"237",2019,"1087289","Stichting Interzorg Groep",157,83.6,25.63,1.44,7.99,0.53,24.2,20.38,7.01,18,75,14.47,13.04,48.33,8.49,0,0,0,0,1.67,1.26,9.3,0.79,41,1,117004,84,38,32,11,12,11,40,7,0,0,0,0,1,84,5333,124,160,84,1463672,157,157,157,157,84,84,84,84,84,84,84,84,84,66,57344,157
"238",2019,"4055278","Stichting Interzorg Noord-Nederland",1026,620,19.15,11.61,14.26,0.6,27.28,10.48,4.17,255,980,5.05,12.66,34.48,15.21,1.98,0,5.45,18.06,7.05,0.86,9.6,0.88,194,72,4409158,620,268,103,41,31,79,214,94,12,0,34,112,44,620,20993,907,1013,620,30919611,1026,983,983,983,620,620,620,620,620,620,620,620,620,717,218600,1026
"239",2019,"24425068","Stichting Jah Jireh Woonzorg Wageningen",71,47.8,2.82,35.23,5.78,0.67,2.82,4.23,12.68,2,89,3.93,8.49,35.9,10.48,8.12,0,0,5.77,0,1.47,1.41,1.18,2,17,154212,48,2,3,9,2,4,17,5,4,0,0,3,0,48,260,84,71,48,2669256,71,71,71,71,48,48,48,48,48,48,48,48,48,32,18460,71
"240",2019,"60396830","Stichting Jan Berchmans",98,68,18.37,20.59,20.91,0.69,29.47,29.47,2.11,5,24,1.47,22.06,11.76,8.82,1.47,0,0,7.35,2.94,1.13,9.33,1.39,18,14,866169,68,28,28,2,1,15,8,6,1,0,0,5,2,68,2840,136,98,68,4142074,98,95,95,95,68,68,68,68,68,68,68,68,68,60,30450,98
"241",2019,"27195258","Stichting Johannahuis",95,49.98,22.58,2.9,8.52,0.53,40,40,25.95,10,71,22.87,18.59,23.83,5.34,0.22,0,1.16,5.58,22.41,0.95,1.96,0.45,21,1,184806,50,37,37,24,11,9,12,3,0,0,1,3,11,50,227,43,93,50,2168253,95,93,93,93,50,50,50,50,50,50,50,50,50,52,11575,95
"242",2019,"37136132","Stichting Jonkerszorg",34,18,17.24,5.56,NA,0.53,5.97,2.99,5.97,9,15,5.56,13.89,25.56,36.67,11.11,0,0,0,7.22,0.95,0.82,0.21,5,1,NA,18,2,1,2,1,3,5,7,2,0,0,0,1,18,3,7,29,18,NA,34,34,34,34,18,18,18,18,18,18,18,18,18,19,365,34
"243",2019,"41155836","Stichting Joods Bejaardencentrum Den Haag",127,82.58,17.32,4.92,8.34,0.65,24.19,12.9,4.84,6,75,18.32,22.23,19.35,6.21,2.82,0,1.2,0,2.42,1.42,8.05,1.42,22,4,327398,83,30,16,6,15,18,16,5,2,0,1,0,2,83,21,180,127,83,3926167,127,124,124,124,83,83,83,83,83,83,83,83,83,58,261,127
"244",2019,"50226339","Stichting King Arthur Groep",9,3.39,100,NA,1199.67,0.38,NA,NA,NA,2,1,6.78,0,1.18,24.48,6.49,0,0,0,61.06,0.17,1.12,0.67,9,NA,1093201,3,NA,NA,NA,0,0,0,1,0,0,0,0,2,3,12,6,9,NA,91125,9,NA,NA,NA,3,3,3,3,3,3,3,3,3,21,1068,9
"245",2019,"10043379","Stichting Kalorama",695,412.9,14.96,14.63,13.16,0.59,19.62,19.19,7.94,28,110,5.47,6.25,21.6,5.3,3.22,0,4.5,4.38,7.85,1.29,6.92,1.05,104,60,3074000,413,136,133,55,23,26,89,22,13,0,19,18,32,413,9281,730,695,413,23351000,695,693,693,693,413,413,413,413,413,413,413,413,413,320,134193,695
"246",2019,"41223799","Stichting Kennemerhart",1106,701.64,26.78,4.44,5.75,0.63,31.45,7.23,7.23,40,691,27.2,17.13,30.65,5.21,0.17,0,12.34,0,7.3,0.88,6.85,1.28,319,31,2222469,702,348,80,80,191,120,215,37,1,0,87,0,51,702,25,1415,1191,702,38619850,1106,1107,1107,1107,702,702,702,702,702,702,702,702,702,798,365,1106
"247",2019,"71965653","Stichting Kleingeluk",627,350.5,24.88,5.99,14.94,0.56,28.07,24.91,3.86,21,564,15,5,62,8,2,0,0,0,8,1.01,NA,1.02,156,21,1994000,351,160,142,22,53,18,217,28,7,0,0,0,28,351,NA,638,627,351,13342500,627,570,570,570,351,351,351,351,351,351,351,351,351,346,NA,627
"248",2019,"17157623","Stichting Kleinschalig Begeleid Wonen Voor Ouderen",42,28.45,19.05,3.51,10.35,0.68,9.52,30.95,4.76,4,38,0,23.41,29.28,5.48,8.3,0,0,32.76,0,1.19,20.84,0.5,8,1,148564,28,4,13,2,0,7,8,2,2,0,0,9,0,28,1463,21,42,28,1435539,42,42,42,42,28,28,28,28,28,28,28,28,28,24,7020,42
"249",2019,"54463319","Stichting Kleinschalig Wonen Westwoud",20,9.1,25,NA,NA,0.46,5,10,NA,6,30,0,9.89,38.79,13.74,0,0,0,21.98,14.73,NA,4.75,0.55,4,NA,NA,9,1,2,NA,0,1,4,1,0,0,0,2,1,NA,104,11,16,NA,NA,20,20,20,NA,9,9,9,9,9,9,9,9,9,NA,2190,20
"250",2019,"41076460","Stichting Kloosterverzorgingshuis Zusters Onder De Bogen",11,6.66,0,0.75,3.68,0.61,0,0,0,0,0,0,28.83,67.12,0,0,0,0,4.05,0,1.16,4.79,1.09,0,0,14173,7,0,0,0,0,2,4,0,0,0,0,0,0,7,116,12,11,7,384824,11,11,11,11,7,7,7,7,7,7,7,7,7,6,2420,11
"251",2019,"8168183","Stichting Koninklijke Visio- Expertisecentrum Voor Slechtziende En Blinde Mensen",100,68.5,10,3.65,16.57,0.69,19.79,11.46,3.13,5,105,10.22,9.78,16.5,15.33,8.03,0,0.98,3.36,4.23,0.95,7.17,1.13,10,3,580000,69,19,11,3,7,7,11,11,6,0,1,2,3,69,22,113,100,69,3500000,100,96,96,96,69,69,69,69,69,69,69,69,69,72,307,100
"252",2019,"1110074","Stichting Kwadrantgroep",2194,1117.02,11.58,NA,NA,0.51,20.25,33.53,NA,609,1440,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.01,6.31,1.8,254,NA,NA,1117,433,717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1117,8204,3959,2194,NA,NA,2194,2139,2139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1104,130029,2194
"253",2019,"41062327","Stichting La Providence",209,106,16.67,1.7,5.96,0.51,22.04,6.53,3.67,4,100,0.09,25.66,39.53,26.04,1.98,0.85,4.34,0,1.51,1.02,7.38,1.3,41,2,317116,106,54,16,9,0,27,42,28,2,1,5,0,2,106,3452,272,246,106,5319000,209,245,245,245,106,106,106,106,106,106,106,106,106,104,46790,209
