kvk,organisatie,pc,jaar,nMedew,nFTE,noemer,nClient,pTijd,tTijd,nTijd,pPnil,tPnil,nPnil,pkPnil,kPnil,kVast,gemContr,tGemContr,nGemContr,instroom,tInstroom,nInstroom,uitstroom,tUitstroom,nUitstroom,doorstroom,tDoorstroom,nDoorstroom,nStag,nVrijw,niv1,tNiv1,niv2,tNiv2,niv3,tNiv3,niv4,tNiv4,niv5,tNiv5,niv6,tNiv6,beh,tBehandel,ovPers,tOvPers,ll,tLl,FTEpCt,tFTEpCt,pVerzuim,tVerzuim,nVerzuim,verzuimFreq,tVerzuimFreq,nVerzuimFreq
34109793,Rooms Katholieke Stichting Zorgcentra Meerlanden,1171AE,2019,300,170.19,170,208,27.69,85,307,4.14,7,170,12.96,1017153,7847285,0.57,170,300,23.95,83,347,19.62,68,347,8.37,29,347,62,302,6.4,11,9.68,16,51.08,87,8.44,14,0.98,2,0,0,0,0,10.75,18,12.49,21,0.82,170,7.2,4133,57401,0.82,246,300
34109793,Rooms Katholieke Stichting Zorgcentra Meerlanden,1171AE,2020,354,206.75,207,210,30.7,109,355,11.35,23,207,11.19,1142874,10212667,0.58,207,354,17.85,63,353,17,60,353,7.08,25,353,42,281,5.2,11,9.79,20,49.61,103,9.71,20,0,0,1.88,4,0,0,9.67,20,14.13,29,0.98,207,8.56,7968,93085,1.24,440,354
34109793,Rooms Katholieke Stichting Zorgcentra Meerlanden,1171AE,2021,349,185.5,186,213,28.94,101,349,5.93,11,186,10.94,1202694,10997537,0.53,186,349,16.79,59,352,9.96,35,352,3.7,13,352,63,272,7.17,13,11,20,48.03,89,10.08,19,0.65,1,0,0,0,0,10.13,19,12.94,24,0.87,186,8.24,7670,93085,0.83,289,349
34126607,De Zorgspecialist B.v.,2071NW,2019,76,50.33,50,50,17.11,13,76,3.97,2,50,4.77,121305,2543879,0.66,50,76,15.79,12,76,9.21,7,76,3.95,3,76,21,3,8.54,4,35.76,18,44.39,22,6.85,3,4.41,2,0,0,0,0,0,0,0,0,1,50,3.32,435,13085,0.71,54,76
34126607,De Zorgspecialist B.v.,2071NW,2020,92,56.75,57,50,14.13,13,92,3.52,2,57,3.78,481885,12734092,0.62,57,92,19.05,16,84,7.14,6,84,0,0,84,33,3,3.52,2,33.67,19,54.01,31,8.78,5,0,0,0,0,0,0,0,0,0,0,1.12,57,5.15,672,13052,0.88,81,92
34126607,De Zorgspecialist B.v.,2071NW,2021,129,76.93,77,57,34.11,44,129,2.6,2,77,7.47,253578,3392903,0.6,77,129,25.94,31,120,10.88,13,120,3.35,4,120,20,4,5.97,5,38.98,30,40.26,31,12.76,10,2.03,2,0,0,0,0,0,0,0,0,1.36,77,4.93,18,365,0.81,104,129
34131070,Woonzorgvoorziening Huize Plantage Bv,1018CP,2019,18,10.07,10,10,22.22,4,18,2.38,0,10,3.47,16199,466784,0.56,10,18,22.86,4,18,40,7,18,0,0,18,3,0,0,0,19.86,2,36.74,4,7.65,1,4.57,0,0,0,0,0,31.18,3,0,0,1.04,10,8.63,225,2606,0.28,5,18
34131070,Woonzorgvoorziening Huize Plantage Bv,1018CP,2020,22,10.1,10,9,18.18,4,22,4.95,1,10,9.87,44000,446000,0.46,10,22,50,11,22,40.91,9,22,4.55,1,22,4,NA,0,0,13.27,1,31.29,3,15.25,2,4.46,0,0,0,0,0,35.74,4,0,0,1.12,10,9.52,571,6000,0.27,6,22
34131070,Woonzorgvoorziening Huize Plantage Bv,1018CP,2021,21,11,11,15,36.36,4,11,0,0,11,NA,NA,NA,0.52,11,21,19.51,4,21,29.27,6,21,4.88,1,21,2,0,0,0,9.09,1,36.36,4,27.27,3,9.09,1,0,0,0,0,18.18,2,0,0,0.73,11,1.61,37,2303,0.76,16,21
34142090,Zonnehuisgroep Amstelland,1186AA,2019,954,623,623,549,31.9,311,975,4.17,26,623,10.23,3163790,30919830,0.65,623,954,24.24,227,937,16.23,152,937,1.71,16,937,113,401,0.4,2,28.41,177,28.35,177,8.22,51,0.03,0,1.13,7,4.73,29,19.25,120,9.49,59,1.13,623,7.2,11663,161980,0.66,630,954
34142090,Zonnehuisgroep Amstelland,1186AA,2020,950,654.67,655,548,31.45,350,1113,3.71,24,655,9.97,3341751,33512731,0.69,655,950,35.51,351,989,21.24,210,989,5.67,56,989,128,370,0,0,33.94,222,25.1,164,6.04,40,0.08,1,1.43,9,4.54,30,19.86,130,9.01,59,1.19,655,9.4,16000,170214,0.77,732,950
34142090,Zonnehuisgroep Amstelland,1186AA,2021,1047,712.88,713,535,21.17,257,1214,8.87,63,713,16.66,6842946,41064608,0.68,713,1047,29.76,301,1012,30.75,311,1012,6.62,67,1012,118,370,0,0,35.3,252,24.5,175,5.63,40,0.23,2,1.44,10,4.24,30,9.06,65,9.12,65,1.33,713,10.14,18867,186062,0.8,838,1047
34184520,Stichting Viva! Zorggroep,1960AB,2019,1527,1006,1006,1244,21.37,215,1006,5.86,59,1006,12.6,6223833,49382172,0.66,1006,1527,22.77,375,1647,15.12,249,1647,3.34,55,1647,62,1640,14.31,144,4.08,41,54.17,545,3.98,40,1.99,20,0,0,6.96,70,2.68,27,11.83,119,0.81,1006,7.89,789,10000,0.89,1353,1527
34184520,Stichting Viva! Zorggroep,1960AB,2020,1584,902,902,1218,27.77,509,1833,8.76,79,902,16.99,8389033,49382172,0.57,902,1584,21.78,351,1612,13.53,218,1612,3.35,54,1612,65,1542,16.74,151,3.22,29,55.32,499,3.88,35,2,18,0,0,6.1,55,0.67,6,11.97,108,0.74,902,8.43,843,10000,0.89,1406,1584
34184520,Stichting Viva! Zorggroep,1960AB,2021,1689,1034,1034,1236,28.24,477,1689,9.48,98,1034,18.38,10526994,57272709,0.61,1034,1689,14.33,242,1689,18.66,315,1689,11.25,190,1689,53,1409,15.86,164,2.61,27,55.71,576,5.22,54,2.13,22,0,0,5.9,61,0.97,10,11.61,120,0.84,1034,7.53,753,10000,0.88,1481,1689
34229005,Stichting Cordaan,1000BC,2019,1660,1281,1281,1407,27.83,462,1660,5.66,72,1281,5.93,3805352,64134897,0.77,1281,1660,19.42,324,1669,18.04,301,1669,NA,NA,NA,283,1105,12.49,160,26.39,338,31.15,399,9.68,124,6.32,81,0.23,3,5.78,74,0,0,7.96,102,0.91,1281,8.03,32539,405284,1.24,2051,1660
34229005,Stichting Cordaan,1000BC,2020,1792,1386.5,1387,1385,27.9,500,1792,8.23,114,1387,8.93,6272756,70216200,0.77,1387,1792,20.97,381,1817,11.83,215,1817,NA,NA,NA,303,1109,13.21,183,26.23,364,30.82,427,8.91,124,5.6,78,0.18,2,5.52,77,0,0,9.52,132,1,1387,9.49,41463,437068,1.12,2014,1792
34229005,Stichting Cordaan,1000BC,2021,1998,1502.32,1502,1496,28.64,584,2039,10.67,160,1502,11.98,9213605,76889581,0.75,1502,1998,20.79,410,1972,18.56,366,1972,NA,NA,NA,388,794,13.18,198,25.36,381,31.12,468,10.26,154,3.36,50,0.32,5,5.31,80,0,0,11.08,166,1,1502,7.84,37632,479835,1.11,2210,1998
34233125,Zuster Floor De Ehze V.o.f.,7218BT,2019,27,18.65,19,16,3.7,1,27,0,0,19,NA,NA,NA,0.69,19,27,7.69,2,26,7.69,2,26,3.85,1,26,6,3,9.6,2,14.58,3,43.06,8,7.18,1,0,0,0,0,0,0,25.58,5,0,0,1.2,19,7.4,2501,33805,1.85,50,27
34233125,Zuster Floor De Ehze V.o.f.,7218BT,2020,26,18,18,15,3.85,1,26,0,0,18,NA,NA,NA,0.69,18,26,7.84,2,26,7.84,2,26,3.92,1,26,7,4,16.67,3,11.11,2,44.44,8,5.56,1,0,0,0,0,0,0,22.22,4,0,0,1.18,18,9.67,3268,33805,2,52,26
34233125,Zuster Floor De Ehze V.o.f.,7218BT,2021,24,18.5,19,15,4.17,1,24,0,0,19,NA,NA,NA,0.77,19,24,8.7,2,23,8.7,2,23,4.35,1,23,6,3,9.68,2,10.92,2,42.59,8,7.24,1,0,0,0,0,0,0,25.78,5,3.78,1,1.23,19,6.83,2365,34632,1.42,34,24
34239269,Stichting Zorgbalans,2001HD,2019,2104,1439.39,1439,1332,24.86,542,2180,4.54,65,1439,7.44,5502641,73949172,0.68,1439,2104,19.7,420,2133,15.24,325,2133,3.52,75,2133,111,813,5.8,84,20.54,296,30.2,435,10.59,152,0.14,2,0,0,5.39,78,14.32,206,13.01,187,1.08,1439,6.46,31326,484935,1.08,2266,2104
34239269,Stichting Zorgbalans,2001HD,2021,2285,1510.61,1511,1383,27.17,643,2367,7.22,109,1511,10.88,9189766,84499423,0.66,1511,2285,18.49,431,2331,15.4,359,2331,4.29,100,2331,124,900,8.68,131,20.7,313,28.6,432,10.61,160,0.54,8,0.08,1,5.87,89,13.63,206,11.28,170,1.09,1511,7.73,41028,530763,0.91,2074,2285
34259830,Stichting Amsta,1018WC,2019,1726,983.79,984,1109,19,328,1726,4.54,45,984,7.55,3990708,52882018,0.57,984,1726,30.27,411,1358,24.15,328,1358,4.86,66,1358,321,475,3.02,30,21.7,214,24.96,246,13.18,130,12.63,124,0.26,3,6.82,67,6.2,61,11.22,110,0.89,984,8.41,22771,270759,1.13,1959,1726
34259830,Stichting Amsta,1018WC,2020,1959,1010.54,1011,1080,23.94,469,1959,3.69,37,1011,6.81,4062239,59671883,0.52,1011,1959,31.83,516,1621,28.81,467,1621,20.42,331,1621,244,368,0,0,29.06,294,33.89,342,12.05,122,3.08,31,0,0,6.15,62,6.16,62,9.6,97,0.94,1011,11.41,30209,264761,1.4,2742,1959
34259830,Stichting Amsta,1018WC,2021,1924,1071.08,1071,1064,23.34,449,1924,3.43,37,1071,9.09,5881399,64682139,0.56,1071,1924,15.83,305,1927,16.14,311,1927,12.61,243,1927,260,550,0,0,25.33,271,32.34,346,15.11,162,3.42,37,0,0,7.07,76,5.87,63,10.87,116,1.01,1071,10.33,28889,279551,0.99,1896,1924
34305673,Stichting Zorggroep Amsterdam-Oost,1090AE,2019,259,169.41,169,209,31.29,92,294,13.05,22,169,5.8,41372,713100,0.65,169,259,34.08,76,223,30.94,69,223,0.9,2,223,122,105,11.16,19,14.79,25,30.75,52,10.14,17,1.05,2,0,0,18.6,32,1.25,2,12.25,21,0.81,169,6.4,3342,52210,0.12,30,259
34305673,Stichting Zorggroep Amsterdam-Oost,1090AE,2020,297,174.27,174,185,36.54,110,301,10.73,19,174,8.95,1336330,14922904,0.59,174,297,27.96,79,283,29.03,82,283,2.48,7,283,98,72,18.71,33,15.99,28,23.45,41,14.36,25,2.42,4,0,0,20.76,36,0,0,4.3,8,0.94,174,12.76,6074,47587,1.37,408,297
34305673,Stichting Zorggroep Amsterdam-Oost,1090AE,2021,630,382.82,383,168,22.86,144,630,4.88,19,383,9.27,796299,8586319,0.61,383,630,8.26,50,605,21.16,128,605,5.79,35,605,122,74,9.2,35,9.09,35,10.6,41,2.54,10,1.84,7,0,0,6.96,27,8.22,31,6.6,25,2.28,383,7.5,10190,135906,1.09,686,630
34319469,Herbergier Dussen,4271AA,2019,33,15,15,17,33.33,10,30,NA,NA,NA,NA,NA,NA,0.45,15,33,10,3,30,10,3,30,3.33,1,30,4,0,9.93,1,13,2,45.27,7,0,0,0,0,0,0,0,0,22.13,3,9.67,1,0.88,15,3.89,532,13673,0.12,4,33
34319469,Herbergier Dussen,4271AA,2020,26,16.02,16,17,30.77,8,26,NA,NA,NA,NA,NA,NA,0.62,16,26,34.62,9,26,34.62,9,26,34.62,9,26,1,0,4.18,1,13.55,2,43.63,7,0,0,0,0,0,0,0,0,14.11,2,24.53,4,0.94,16,3.87,1147,29675,0.73,19,26
34319469,Herbergier Dussen,4271AA,2021,30,16,16,17,16.67,5,30,NA,NA,NA,NA,NA,NA,0.53,16,30,26.67,8,30,30,9,30,30,9,30,2,0,7.63,1,10.75,2,50.88,8,5.06,1,12.5,2,0,0,0,0,0,0,13.19,2,0.94,16,2.74,10,365,0.97,29,30
36053029,Stichting Wonen En Zorg Purmerend,1441DN,2019,179,102.19,102,146,32.96,59,179,2.08,2,102,3.82,212264,5552062,0.57,102,179,29.01,47,162,22.84,37,162,6.79,11,162,30,198,2.72,3,13.91,14,64.45,66,2.9,3,6.04,6,0,0,0,0,0,0,9.99,10,0.7,102,7.9,5964,75473,1.02,182,179
36053029,Stichting Wonen En Zorg Purmerend,1441DN,2020,189,124.75,125,154,22.75,43,189,4.34,5,125,4.08,623847,15281262,0.66,125,189,31.33,60,192,14.62,28,192,7.83,15,192,24,195,4.23,5,9.9,12,54.73,68,3.38,4,4.55,6,0,0,0.8,1,0,0,8.02,10,0.81,125,7.96,6798,85444,1.19,225,189
36053029,Stichting Wonen En Zorg Purmerend,1441DN,2021,218,130.61,131,161,10.33,22,213,2.73,4,131,3.63,247543,6823000,0.6,131,218,15.63,34,218,19.77,43,218,3.22,7,218,48,185,6.89,9,13.33,17,57.94,76,4.21,6,3.49,5,0,0,2.73,4,0,0,11.4,15,0.81,131,11.3,3881,34336,1.03,224,218
36053708,Stichting Hospice Dignitas,1623MA,2019,15,10.18,10,0,12.5,2,16,1.96,0,10,2.03,14644,720000,0.68,10,15,6.67,1,15,13.33,2,15,0,0,15,2,105,0,0,0,0,13.95,1,66.4,7,19.65,2,0,0,0,0,0,0,0,0,NA,10,9.8,1867,19056,0.8,12,15
36053708,Stichting Hospice Dignitas,1623MA,2020,16,10.04,10,NA,26.67,4,15,2.99,0,10,3.9,28300,726000,0.63,10,16,13.33,2,15,13.33,2,15,0,0,15,2,105,0,0,0,0,13.84,1,67.33,7,18.82,2,0,0,0,0,0,0,0,0,NA,NA,8.25,1550,18795,0.44,7,16
36053708,Stichting Hospice Dignitas,1623MA,2021,21,8.76,9,NA,14.29,3,21,0,0,9,0,0,987579,0.42,9,21,14.29,3,21,4.76,1,21,0,0,21,2,105,0,0,0,0,21.69,2,57.76,5,6.85,1,13.7,1,0,0,0,0,0,0,NA,NA,6.6,1086,16451,0.62,13,21
37093903,Stichting Ouderenzorg Wilgaerden,1624NP,2019,632,373,373,507,20.91,138,660,4.56,17,373,4.6,890000,19361000,0.59,373,632,23.58,149,632,16.77,106,632,13.29,84,632,36,566,3.75,14,12.87,48,50.94,190,13.4,50,4.02,15,1.61,6,0.27,1,0.27,1,12.87,48,0.74,373,7.79,10079,129392,1.54,973,632
37122456,Stichting Zorggroep Tellus,1784MA,2019,143,86,86,118,24.39,30,123,1.16,1,86,4.38,176745,4037500,0.6,86,143,39.1,52,133,21.8,29,133,18.8,25,133,25,130,0,0,22.67,20,44.71,38,5.81,5,0,0,0,0,0,0,20.98,18,5.81,5,0.73,86,6.57,2290,34840,1.2,172,143
37122456,Stichting Zorggroep Tellus,1784MA,2020,159,90,90,127,27.04,43,159,0.5,0,90,2.88,131900,4573382,0.57,90,159,34.75,49,141,14.89,21,141,17.73,25,141,25,141,0,0,21.11,19,42.22,38,5.56,5,0,0,1.11,1,0,0,23.33,21,6.67,6,0.71,90,7.34,1832,24960,1.17,186,159
37122456,Stichting Zorggroep Tellus,1784MA,2021,146,98,98,130,26.71,39,146,NA,NA,NA,NA,NA,NA,0.67,98,146,35.42,51,144,30.56,44,144,10.42,15,144,55,135,0,0,20.41,20,41.84,41,7.14,7,0,0,1.02,1,0,0,21.43,21,8.16,8,0.75,98,9.03,2310,25578,1.25,183,146
37136132,Stichting Jonkerszorg,1718AD,2019,34,18,18,19,17.24,5,29,5.56,1,18,NA,NA,NA,0.53,18,34,5.97,2,34,2.99,1,34,5.97,2,34,9,15,5.56,1,13.89,3,25.56,5,36.67,7,11.11,2,0,0,0,0,0,0,7.22,1,0.95,18,0.82,3,365,0.21,7,34
37136132,Stichting Jonkerszorg,1718AD,2020,36,21.6,22,18,22.22,8,36,NA,NA,NA,NA,NA,NA,0.6,22,36,11.43,4,35,5.71,2,35,0,0,35,18,21,4.63,1,20.83,5,31.94,7,30.56,7,9.26,2,0,0,0,0,0,0,2.78,1,1.17,22,2.73,10,366,0.39,14,36
37136132,Stichting Jonkerszorg,1718AD,2021,39,22.3,22,18,23.08,9,39,NA,NA,NA,NA,NA,NA,0.57,22,39,12.99,5,39,5.19,2,39,5.19,2,39,13,22,4.48,1,20.18,5,36.32,8,22.87,5,11.66,3,0,0,0,0,0,0,4.48,1,1.21,22,1.64,6,365,0.41,16,39
37136887,Stichting Vrijwaard,1781HK,2019,290,172,172,198,12.76,37,290,0.58,1,172,1.53,145739,9522600,0.59,172,290,9.29,26,280,19.29,54,280,3.57,10,280,25,127,11.8,20,11.7,20,40.37,69,2.59,4,0,0,0.06,0,0,0,2.98,5,5.81,10,0.87,172,12.8,5900,46097,0.9,262,290
37136887,Stichting Vrijwaard,1781HK,2020,265,140.44,140,162,24.91,66,265,2.94,4,140,5.48,344763,6289722,0.53,140,265,19.62,52,265,27.55,73,265,0,0,265,24,206,12.57,18,17.6,25,55.65,78,4.48,6,0,0,1.47,2,0,0,3.42,5,4.8,7,0.87,140,6.91,3975,57536,0.99,263,265
37136887,Stichting Vrijwaard,1781HK,2021,235,124.7,125,153,10.21,24,235,3.61,5,125,13.23,1222520,9241047,0.53,125,235,10.66,29,272,51.47,140,272,0,0,272,25,82,3.42,4,15.83,20,54.85,68,5.11,6,0,0,0.84,1,3.17,4,2.39,3,14.39,18,0.82,125,6.58,24,365,1.19,280,235
37137180,Tebbe En Schulz Tevens Handelend Onder De Naam Herbergier Dronrijp,9035EL,2019,32,15.5,16,17,20,6,30,NA,NA,NA,NA,NA,NA,0.48,16,32,12.9,4,31,12.9,4,31,6.45,2,31,0,6,2.97,0,42,7,36,6,8.06,1,10.97,2,0,0,0,0,0,0,0,0,0.93,16,1.88,90,4782,0.06,2,32
37137180,Tebbe En Schulz Tevens Handelend Onder De Naam Herbergier Dronrijp,9035EL,2020,32,15.5,16,17,19.44,7,36,0,0,16,NA,NA,NA,0.48,16,32,15.87,5,32,15.87,5,32,6.35,2,32,0,6,0,0,42,7,36,6,8.06,1,10.97,2,0,0,0,0,0,0,2.97,0,0.93,16,10.93,503,4601,1.03,33,32
37137180,Tebbe En Schulz Tevens Handelend Onder De Naam Herbergier Dronrijp,9035EL,2021,32,15.5,16,17,21.62,8,37,NA,NA,NA,NA,NA,NA,0.48,16,32,19.05,6,32,19.05,6,32,6.35,2,32,0,4,0,0,42,7,36,6,8.06,1,10.97,2,0,0,0,0,0,0,2.97,0,0.93,16,8.17,471,5767,0.25,8,32
37138130,Stichting Magentazorg,1700AE,2019,925,526.9,527,635,21.47,216,1006,4.35,23,527,7.05,1926275,27317263,0.57,527,925,42.21,374,886,13.32,118,886,12.08,107,886,43,500,6.3,33,20.21,107,48,253,7.4,39,0,0,0,0,5.56,29,0.85,5,11.67,62,0.83,527,6.6,42975,651136,1.75,1623,925
37138130,Stichting Magentazorg,1700AE,2020,1030,619.1,619,651,28.48,297,1043,4.61,29,619,8.02,2563579,31961178,0.6,619,1030,20.01,205,1025,15.52,159,1025,19.23,197,1025,30,453,13.83,86,17.95,111,42.59,264,7.12,44,0.24,2,0,0,4.89,30,0.9,6,12.47,77,0.95,619,6.81,17794,261483,0.9,927,1030
37138130,Stichting Magentazorg,1700AE,2021,1047,622.7,623,605,25.96,270,1040,5.11,32,623,8.61,2858000,33205245,0.59,623,1047,15.44,161,1043,18.42,192,1043,13.62,142,1043,59,401,13.86,86,18.13,113,40.95,255,7.53,47,0.27,2,0,0,4.8,30,0.78,5,13.69,85,1.03,623,5.89,15636,265408,0.91,952,1047
37140708,Huize Anna B.v.,1462HK,2019,18,12.74,13,7,12.5,2,16,0.31,0,13,0.15,777,529930,0.71,13,18,0,0,19,27.03,5,19,10.81,2,19,1,0,15.7,2,29.83,4,9.65,1,18.6,2,18.45,2,0,0,0,0,4.24,1,3.53,0,1.71,13,1.46,39,2679,0,0,18
37140708,Huize Anna B.v.,1462HK,2020,16,11.34,11,7,0,0,16,1.5,0,11,0.41,2190,538557,0.71,11,16,5.88,1,17,11.76,2,17,0,0,17,1,0,14.9,2,35.1,4,13.32,2,14.46,2,17.64,2,0,0,0,0,0,0,0,0,1.54,11,0,0,5637,0,0,16
37140708,Huize Anna B.v.,1462HK,2021,15,11,11,9,6.67,1,15,1.82,0,11,3.17,15603,491840,0.73,11,15,6.67,1,15,6.67,1,15,0,0,15,0,0,14.55,2,39.09,4,19.09,2,9.09,1,18.18,2,0,0,0,0,0,0,0,0,1.2,11,3.45,78,2264,1.07,16,15
37141322,"Stichting Warm Thuis, Wonen En Welzijn Voor Mensen Met Dementie",1842EL,2019,135,75.9,76,51,11.85,16,135,2.64,2,76,5.19,198538,3821968,0.56,76,135,22.22,30,135,20.74,28,135,8.89,12,135,10,77,1.44,1,19.43,15,70.11,53,0,0,0.13,0,0,0,0,0,0,0,3.14,2,1.47,76,4.35,669,15370,0.55,74,135
37141322,"Stichting Warm Thuis, Wonen En Welzijn Voor Mensen Met Dementie",1842EL,2020,147,81.6,82,52,12.34,19,154,2.45,2,82,4.15,183743,4430502,0.56,82,147,14.93,20,134,23.88,32,134,3.73,5,134,4,86,1.64,1,17.4,14,69.6,57,0,0,0.64,1,0,0,0,0,0,0,3.49,3,1.58,82,7.81,1291,16524,1.05,154,147
37141322,"Stichting Warm Thuis, Wonen En Welzijn Voor Mensen Met Dementie",1842EL,2021,151,87.1,87,55,13.92,22,158,2.3,2,87,3.65,171924,4715150,0.58,87,151,24,36,150,20,30,150,4,6,150,4,84,1.49,1,18.25,16,67.39,59,0,0,0.8,1,0,0,0,0,0.23,0,3.67,3,1.58,87,5.07,1161,22907,1.41,213,151
37150385,Stichting Reigershoeve- Wonen En Welzijn Voor Mensen Met Dementie,1968KM,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37150385,Stichting Reigershoeve- Wonen En Welzijn Voor Mensen Met Dementie,1968KM,2020,51,37.75,38,27,11.54,6,52,1.3,0,38,6.04,120970,2001232,0.74,38,51,11.88,6,51,11.88,6,51,0,0,51,7,6,0,0,0,0,52.32,20,25.93,10,4,2,0,0,0,0,5.3,2,12.42,5,1.4,38,4.56,398,8727,1.78,91,51
37150385,Stichting Reigershoeve- Wonen En Welzijn Voor Mensen Met Dementie,1968KM,2021,50,37,37,27,10,5,50,1.35,1,37,6.14,156125,2543358,0.74,37,50,15.38,8,52,15.38,8,52,7.69,4,52,16,60,0,0,0,0,57.32,21,19.19,7,2.24,1,0,0,0,0,6.97,3,14.27,5,1.37,37,7.68,657,8553,1.98,99,50
37159646,Ceelie & Ceelie-Sierkstra T.h.o.d.n. Herbergier Assendelft,1566PH,2019,25,16,16,17,12,3,25,2.06,0,16,3.72,27000,726000,0.64,16,25,28.57,7,25,28.57,7,25,4.08,1,25,4,10,14.5,2,12.5,2,57,9,6.94,1,0,0,0,0,0,0,0,0,9.06,1,0.92,16,6.88,2200,32000,0.36,9,25
37159646,Ceelie & Ceelie-Sierkstra T.h.o.d.n. Herbergier Assendelft,1566PH,2020,26,17,17,18,7.69,2,26,0,0,17,NA,NA,NA,0.65,17,26,11.54,3,26,11.54,3,26,11.54,3,26,0,7,0,0,0,0,76.47,13,5.88,1,4.59,1,0,0,0,0,0,0,13.06,2,0.95,17,3.21,1023,31824,0.35,9,26
37159646,Ceelie & Ceelie-Sierkstra T.h.o.d.n. Herbergier Assendelft,1566PH,2021,25,16,16,17,8.7,2,23,NA,NA,NA,0,0,750000,0.64,16,25,12,3,25,12,3,25,0,0,25,3,3,0,0,6.25,1,87.5,14,6.25,1,0,0,0,0,0,0,0,0,0,0,0.94,16,13.69,3560,26000,0.8,20,25
39071815,Stichting Zorggroep Almere,1301AC,2019,935,622.73,623,NA,23.53,220,935,NA,NA,NA,5.87,1330936,22667061,0.67,623,935,26.27,241,918,15.59,143,918,NA,NA,NA,432,585,11.09,69,6.61,41,37.22,232,12.11,75,0,0,1.74,11,5.46,34,18.05,112,7.73,48,NA,NA,6.48,14121,218039,1.24,1160,935
39071815,Stichting Zorggroep Almere,1301AC,2020,1043,676.9,677,NA,23.81,251,1054,NA,NA,NA,6.2,1471545,23740854,0.65,677,1043,26.38,236,895,21.24,190,895,7.27,65,895,319,620,11.97,81,8.3,56,34.66,235,12.94,88,0,0,1.58,11,5.13,35,17.64,119,7.77,53,NA,NA,8.62,20722,240268,1.32,1379,1043
39071815,Stichting Zorggroep Almere,1301AC,2021,1048,707.65,708,513,26.25,279,1063,2.97,21,708,8.69,2309452,26582301,0.68,708,1048,26.55,264,995,21.72,216,995,6.23,62,995,387,376,12.58,89,8.75,62,31.35,222,13.19,93,0,0,1.74,12,6.52,46,17.28,122,8.58,61,1.38,708,10.68,26440,247574,1.31,1374,1048
39075012,Stichting Coloriet,8200AN,2019,632,383.75,384,359,13.74,79,575,1.86,7,384,6.83,1255950,18390613,0.61,384,632,31.57,176,558,20.63,115,558,5.02,28,558,226,441,5.27,20,11.75,45,47.51,182,13.67,52,0,0,0.88,3,6.1,23,2.05,8,12.77,49,1.07,384,6.33,5061,79953,0.91,575,632
39075012,Stichting Coloriet,8200AN,2020,712,439.45,439,368,6.51,54,829,1.68,7,439,6.1,1306426,21418787,0.62,439,712,34.23,230,672,23.96,161,672,9.67,65,672,248,450,4.37,19,14.79,65,44.48,195,13.41,59,0,0,0.87,4,5.37,24,2.27,10,14.44,63,1.19,439,8.1,11639,143691,1.11,792,712
39075012,Stichting Coloriet,8200AN,2021,682,457.59,458,392,11.64,86,739,2.6,12,458,7.39,1731871,23425768,0.67,458,682,19.67,125,636,21.87,139,636,10.86,69,636,238,584,3.41,16,15.57,71,44.71,205,11.14,51,3.23,15,0.77,4,5.92,27,2.71,12,12.54,57,1.17,458,9.48,15808,166753,0.98,669,682
39084589,Stichting Zorggroep Oude En Nieuwe Land,8330AD,2019,813,433.8,434,452,29.03,236,813,1.38,6,434,4.53,985694,21753307,0.53,434,813,33.33,252,756,18.65,141,756,3.31,25,756,270,807,12.26,53,18.74,81,52.72,229,6.43,28,0.3,1,0.23,1,4.17,18,0,0,5.14,22,0.96,434,7.61,27408,359926,0.58,471,813
39084589,Stichting Zorggroep Oude En Nieuwe Land,8330AD,2020,776,484.84,485,450,35.53,307,864,1.78,9,485,6.38,1607766,25208352,0.62,485,776,26.86,224,834,20.14,168,834,4.44,37,834,284,810,20.73,101,8.42,41,49.25,239,5.66,27,0.4,2,0,0,4.42,21,2.99,15,8.12,39,1.08,485,7.43,26025,350454,0.92,713,776
39084589,Stichting Zorggroep Oude En Nieuwe Land,8330AD,2021,903,479.31,479,440,33.44,302,903,2,10,479,7.48,1771060,23674796,0.53,479,903,42.32,365,863,40.81,352,863,NA,NA,NA,122,578,20.37,98,11.91,57,47.87,229,6,29,0.39,2,0,0,4.08,20,0,0,8.13,39,1.09,479,9.57,30598,319894,1.04,939,903
39087902,Hoeve Marant,8317PA,2019,25,14.91,15,8,44,11,25,0,0,15,NA,NA,NA,0.6,15,25,32.65,8,25,28.57,7,25,4.08,1,25,1,NA,17.84,3,12.61,2,62.78,9,0,0,0,0,6.71,1,0,0,0,0,0,0,1.78,15,12.38,874,7059,1.44,36,25
39087902,Hoeve Marant,8317PA,2020,21,14,14,10,42.86,9,21,1.07,0,14,1.18,7000,594000,0.67,14,21,23.81,5,21,23.81,5,21,4.76,1,21,1,1,17.14,2,8.57,1,68.57,10,5.71,1,0,0,0,0,0,0,0,0,0,0,1.34,14,6.12,268,4380,1.71,36,21
